団体コード,団体名,自治体サイトのオープンデータページURL,オープンデータ掲載サイトのURL1,オープンデータ掲載サイトのURL1の名称,オープンデータ掲載サイトのURL1の概要,オープンデータ掲載サイトのURL2,オープンデータ掲載サイトのURL2の名称,オープンデータ掲載サイトのURL2の概要,オープンデータ掲載サイトのURL3,オープンデータ掲載サイトのURL3の名称,オープンデータ掲載サイトのURL3の概要,初回登録日,更新日,主な分類,API有無,ライセンス
010006,北海道,http://www.pref.hokkaido.lg.jp/ss/jsk/opendata/opendata.htm,https://www.harp.lg.jp/opendata/,北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
020001,青森県,https://opendata.pref.aomori.lg.jp/,https://opendata.pref.aomori.lg.jp/,青い森オープンデータカタログ,青森県では、行政や民間が有する公共公益的なデータを登録し、利用できる「青い森オープンデータカタログ」を開設し、生活・環境、教育、保健・医療・福祉、観光、文化、産業など幅広い分野の統計データや映像素材などのコンテンツを公開しています。,,,,,,,,2019/03/11,運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、自然景観、施設景観、公園・庭園、動・植物,無,CC-BY
030007,岩手県,https://www.pref.iwate.jp/opendata/,https://www.pref.iwate.jp/opendata/,岩手県オープンデータサイト ,岩手県の各組織が保有するデータのうち、オープンデータとして利用できるデータを公開しています。,,,,,,,,2024/02/06,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光、情報通信・科学技術、教育・文化・スポーツ・生活、行財政、司法・安全・環境、社会保障・衛生、,無,CC-BY
040002,宮城県,http://www.pref.miyagi.jp/site/opendata-miyagi/,https://miyagi.dataeye.jp/datasets?organization_id=1,,,https://www.pref.miyagi.jp/site/opendata-miyagi/,オープンデータみやぎ,宮城県と県内全市町村のオープンデータを共同で公開するサイト・公開日は令和４年１０月３日・公開するデータは全て機械判読可能な形式とします・プラットフォームはdataeye（一社データクレイドル）を使用・データの可視化やAPI連携機能も付いている・今後、政府推奨データセット、防災関係データセット等の整備を県と市町村が共同で取り組んでいく。,,,,,2022/11/07,防災、行政活動情報、司法・安全・環境、交通、健康・医療、農林水産業,有,CC-BY
050008,秋田県,https://www.pref.akita.lg.jp/pages/archive/32419,https://opendata.pref.akita.lg.jp/,秋田県オープンデータカタログサイト,秋田県が所有する統計、防犯・防災、地理及び暮らしに関わる情報などを、利用者の皆さまが加工、配布等も含めて利用できるデータとして提供（オープン化）することで、ホームページ等で公開されているデータでは難しかった商業利用や効率的なデータ活用など満足度の高いサービスの実現することを目的にしています。,,,,,,,,2024/09/27,人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、情報通信・科学技術、教育・文化・スポーツ・生活、行財政、司法・安全・環境、運輸・観光、社会保障・衛生、国際、その他、,有,CC-BY
060003,山形県,http://www.pref.yamagata.jp/ou/kikakushinko/020051/opendata.html,http://www.pref.yamagata.jp/ou/kikakushinko/020051/opendata.html,山形県オープンデータカタログ,山形県では、従来のホームページによるわかりやすい情報発信のほかに、どなたでも二次利用できる県のデータを集めたカタログサイトを開設してオープンデータに取り組んでおり、今後、データ数を拡大予定です。,,,,,,,,,人口・世帯、運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、子育て、統計,無,CC-BY
070009,福島県,https://www.pref.fukushima.lg.jp/sec/11045a/open-data-top.html,https://www.pref.fukushima.lg.jp/sec/11045a/open-data-top.html,福島県オープンデータ推進コーナー,県が保有するデータのうち、県民生活に身近な情報等を優先して、準備が整ったものから機械判読に適した形式（CSV形式）かつ二次利用可能なルールで順次公開し、オープンデータの拡大を図ります。,,,,,,,,,運輸・観光、教育・文化・スポーツ・生活、社会保障・衛生、住民向け情報(暮らしの情報)、行政活動情報、子育て、統計,無,CC-BY
080004,茨城県,http://www.pref.ibaraki.jp/kikaku/joho/it/opendata/od-00.html,http://www.pref.ibaraki.jp/kikaku/joho/it/opendata/od-00.html,茨城県オープンデータカタログ,茨城県では，県が保有するデータについて、より広く民間の利用に供するため、新たにカタログサイトを開設し、オープンデータとして公開しています。,,,,,,,,,人口・世帯、エネルギー・水、運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、行政活動情報、統計,無,CC-BY
090000,栃木県,http://tochigiken.jp/,https://odcs.bodik.jp/090000/,オープンデータ・ベリーとちぎ,このサイトは、栃木県の保有するデータを公開するカタログサイトです。可能な限り、機器判読可能なCSV等の形式でデータを提供しています。,,,,,,,,,人口・世帯、運輸・観光、教育・文化・スポーツ・生活、救急・消防、統計・調査・報告・観測データ,有,CC-BY
100005,群馬県,https://www.pref.gunma.jp/07/b2700057.html,http://www.pref.gunma.jp/07/b2700057.html,群馬県オープンデータサイト,群馬県では、国の「電子行政オープンデータ戦略」を踏まえ、本県のデータを活用できる環境を整備し、公開を進めます。,,,,,,,,,人口・世帯、労働・賃金、農林水産業、商業・サービス業、住宅・土地・建設、運輸・観光、司法・安全・環境、社会保障・衛生,無,CC-BY
110001,埼玉県,https://opendata.pref.saitama.lg.jp/,https://opendata.pref.saitama.lg.jp/,埼玉県オープンデータポータルサイト,埼玉県のオープンデータ化の推進においては、庁内に保有しているデータについて二次利用できる形式による公開を拡大していくとともに、民間ニーズとのマッチングや複数データの組み合わせ等を図ることで効果的なデータ活用を促進していきます。,,,,,,,,,運輸・観光、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、行政活動情報、子育て,有,CC-BY
120006,千葉県,https://www.pref.chiba.lg.jp/gyoukaku/opendata/index.html,https://www.pref.chiba.lg.jp/gyoukaku/opendata/index.html,千葉県オープンデータサイト,千葉県が保有するデータを民間等が自由に利用できるようサイト上で公開している,,,,,,,,2022/03/03,人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光等,無,CC-BY
130001,東京都,http://opendata-portal.metro.tokyo.jp/www/index.html,http://www.koho.metro.tokyo.jp/opendata/,,,http://opendata-portal.metro.tokyo.jp/www/index.html,東京都オープンデータカタログサイト,東京都では、行政が保有する公共データを公表し、地域課題の解決や住民生活の利便性を目指していくオープンデータの取組の一環として、横断的な検索・取得が可能な「東京都オープンデータカタログサイト」を公開中です。都が保有する情報だけでなく、一部都内区市町村のデータについても登録しており、内容の拡充を図っております。,,,,,,企業・家計・経済、行財政、住民向け情報(暮らしの情報)、行政活動情報,無,CC-BY
140007,神奈川県,http://www.pref.kanagawa.jp/cnt/f534212/,https://opendata.pref.kanagawa.jp/,神奈川県オープンデータサイト,神奈川県では行政データを活用した新たなサービスの創出や地域の課題解決を目指し、オープンデータを推進しています。二次利用が可能なデータを掲載していますので、是非ご活用ください。,,,,,,,,,人口・世帯、労働・賃金、農林水産業、商業・サービス業、企業・家計・経済、住宅・土地・建設、教育・文化・スポーツ・生活、行財政、司法・安全・環境,無,CC-BY
150002,新潟県,https://www.pref.niigata.lg.jp/site/opendata/,https://www.pref.niigata.lg.jp/site/opendata/,新潟県オープンデータ,統計情報を中心にオープンデータとして公開しています。,,,,,,,,2022/12/15,人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、住宅・土地・建設、運輸・観光、教育・文化・スポーツ・生活、行財政、司法・安全・環境,無,CC-BY
160008,富山県,http://opendata.pref.toyama.jp/,http://opendata.pref.toyama.jp/,富山県オープンデータポータルサイト,,,,,,,,,,,,CC BY
170003,石川県,https://www.pref.ishikawa.lg.jp/opendata/,http://www.pref.ishikawa.lg.jp/opendata/index.html,石川県オープンデータカタログ,石川県では、県が保有するデータの二次利用が推進されることは、県民サービスの向上に資するものと考え、オープンデータに取り組んでいます。,,,,,,,,,人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、運輸・観光、教育・文化・スポーツ・生活、行財政、司法・安全・環境、住民向け情報(暮らしの情報)、統計,無,CC-BY
180009,福井県,http://www.pref.fukui.lg.jp/doc/toukei-jouhou/opendata/,http://www.pref.fukui.lg.jp/doc/toukei-jouhou/opendata/index.html,福井県オープンデータライブラリ,福井県独自のデータだけではなく、県と全市町（１７）で共同公開データを県オープンデータライブラリにて公開し、県全体でオープンデータを推進している。あわせて、公開データを活用したアプリも紹介している。 ,http://www.pref.fukui.lg.jp/doc/toukei-jouhou/opendata/list_ct.html,福井県・県内１７市町共同公開データ,福井県・県内１７市町の公開データを共同で公開しているカタログサイトです。,,,,,,教育・文化・スポーツ・生活、司法・安全・環境、運輸・観光、国土・気象、社会保障・衛生,無,CC-BY
190004,山梨県,https://www.pref.yamanashi.jp/opendata/,http://www.pref.yamanashi.jp/opendata/index.html,山梨県オープンデータサイト,山梨県オープンデータサイトでは、公共データの活用促進を図るため、県が保有する様々なデータのうち、オープンデータとして利用できるデータを公開しています。,,,,,,,,,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光、情報通信・科学技術、教育・文化・スポーツ・生活、行財政、司法・安全・環境、社会保障・衛生、国際、その他,無,CC-BY
200000,長野県,https://wwwgis.pref.nagano.lg.jp/pref-nagano/OpenData,https://wwwgis.pref.nagano.lg.jp/pref-nagano/OpenData,長野県オープンデータサイト,地図情報がオープンデータとして公開されています。オープンデータとは、公共データを、誰もが自由に二次利用できる形で公開する取り組みです。,,,,,,,,2022/11/07,人口・世帯、安全、子育て、選挙,無,CC-BY
210005,岐阜県,https://gifu-opendata.pref.gifu.lg.jp/,https://gifu-opendata.pref.gifu.lg.jp/,岐阜県オープンデータカタログサイト,岐阜県では、オープンデータの取り組みを加速するため、「地方公共団体向けオープンデータパッケージ」を利用して、「岐阜県オープンデータカタログサイト」を開設しています。データプレビュー機能の強化に加え、県内市町村と取り組む「共通フォーマットデータ」や県域統合型ＧＩＳのマップへのリンクも掲載しております。,,,,,,,,,司法・安全・環境、住宅・土地・建設、行財政、人口・世帯、企業・家計・経済、農林水産業、労働・賃金、教育・文化・スポーツ・生活、商業・サービス業、鉱工業,有,CC-BY
220001,静岡県,https://opendata.pref.shizuoka.jp/,https://opendata.pref.shizuoka.jp/,ふじのくにオープンデータカタログ,静岡県がオープンデータを実践するために設置した試行サイト（β版）,,,,,,,,,国土・気象、運輸・観光、教育・文化・スポーツ・生活、司法・安全・環境、行政活動情報,有,CC-BY
230006,愛知県,https://www.pref.aichi.jp/life/7/,https://www.pref.aichi.jp/opendata/,愛知県オープンデータカタログ,愛知県では、国の「電子行政オープンデータ戦略」（平成24年7月4日高度情報通信ネットワーク社会推進戦略本部決定）を踏まえ、本県が保有するデータを対象としたデータ公開の環境を整備し実際に公開を進めていくことにより、行政の透明性・信頼性の向上を図るとともに、公開されたデータを利活用した様々な新しい形のビジネスが創出され、社会・経済の発展に寄与していくことを目指します。,,,,,,,,2020/01/30,人口・世帯、事業者向け情報、住民向け情報(暮らしの情報)、観光情報,無,CC-BY
240001,三重県,http://www.pref.mie.lg.jp/IT/HP/87579000001.htm,http://www.pref.mie.lg.jp/IT/HP/87579000001.htm,三重県オープンデータライブラリ,三重県ではホームページで様々な情報を公開しているところですが、県が保有するデータについて、より広く民間の利用に供するため、新たにライブラリを開設し、オープンデータとして公開しています。,,,,,,,,,商業・サービス業、教育・文化・スポーツ・生活、司法・安全・環境、住民向け情報(暮らしの情報)、統計,無,CC-BY
250007,滋賀県,https://www.pref.shiga.lg.jp/ippan/kurashi/ict/300004.html,https://www.pref.shiga.lg.jp/ippan/kurashi/ict/300004.html,滋賀県オープンデータカタログ,オープンデータとして公開できるデータ一覧を滋賀県オープンデータカタログとして整備し、準備が整ったものから、順次公開していきます。,,,,,,,,,人口・世帯・防災・安全・子育て・教育・環境・ゴミ・経済・観光・行政・財政・農林水産・建物・土地,無,CC-BY
260002,京都府,http://www.pref.kyoto.jp/digital/opendata/index.html,https://odcs.bodik.jp/260002/,,,http://hyakugo.kyoto.jp/,京都百合文書ＷＥＢ,東寺百合文書WEBでは、京都府立総合資料館が所蔵する国宝「東寺百合文書」全点のデジタル画像（約8万画像）を公開。,http://www.pref.kyoto.jp/digital/opendata/index.html,京都府オープンデータカタログサイト「KYOTO DATASTORE」,「京都府スマート社会推進計画」に基づき、課題解決に向けた対話のための様々なデータや情報を蓄積、共有し、具体的な活動を推進するためのデータ・プラットフォームです。,,2022/01/12,労働・賃金、教育・文化・スポーツ・生活、司法・安全・環境、企業・家計・経済、社会保障・衛生、行財政、健康・医療、国土・気象、農林水産業、人口・世帯、住宅・土地・建設、運輸・観光、子育て,有,CC-BY
270008,大阪府,http://www.pref.osaka.lg.jp/kikaku_keikaku/opendata/index.html,http://www.pref.osaka.lg.jp/kikaku_keikaku/opendata/index.html,大阪府オープンデータサイト,大阪府では、多くのデータをアクセシビリティ等の観点からExcel形式等で公開しているところ、本サイトは、当該データの一部を編集可能な形式で分野別に紹介し、様々な用途に活用いただく趣旨でまとめたもの。,,,,,,,,,国土・気象、エネルギー・水、運輸・観光、教育・文化・スポーツ・生活、文化・スポーツ・生涯学習、文化史跡、文化施設、福祉、子育て、健康、医療,無,CC-BY
280003,兵庫県,https://web.pref.hyogo.lg.jp/opendata/index.php,https://web.pref.hyogo.lg.jp/opendata/index.php,兵庫県オープンデータカタログサイト,兵庫県では、県民、団体、企業等による公共データを活用した地域の課題解決等に資するため、オープンデータカタログサイトを開設し、県が保有するデータを公開しています。,,,,,,,,2022/03/18,農林水産業、司法・安全・環境、住民向け情報(暮らしの情報)、行政活動情報、統計,無,CC-BY
290009,奈良県,http://www.pref.nara.jp/44954.htm,http://www.pref.nara.jp/44954.htm,奈良県オープンデータカタログサイト,奈良県では、オープンデータの公開環境を整備し、実際に公開を進めることで、行政の透明性の向上を図るとともに、オープンデータによる官民協働および経済活性化の促進を図っていきます。,,,,,,,,,人口・世帯、教育・文化・スポーツ・生活、司法・安全・環境,無,CC-BY
300004,和歌山県,https://www.pref.wakayama.lg.jp/prefg/020400/opendata/d00207954.html,https://odcs.bodik.jp/300004/,,,https://www.pref.wakayama.lg.jp/prefg/020400/opendata/d00207954.html,和歌山県オープンデータカタログサイト,和歌山県のオープンデータを掲載しています。,,,,,2021/09/06,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、運輸・観光、教育・文化・スポーツ・生活、行財政、司法・安全・環境、健康・福祉、くらしの情報,有,CC-BY
310000,鳥取県,https://odp-pref-tottori.tori-info.co.jp/,https://odp-pref-tottori.tori-info.co.jp/,鳥取県オープンデータポータルサイト,みんなが持っているデータを共有し、活用するためのデータ流通基盤です。原則、誰でも自由にご利用いただけます。,,,,,,,,,国土・気象、農林水産業、教育・文化・スポーツ・生活、司法・安全・環境、住民向け情報(暮らしの情報)、統計,無,CC-BY
320005,島根県,https://shimane-opendata.jp/,https://shimane-opendata.jp,島根県オープンデータカタログサイト,島根県のオープンデータカタログサイトです。さまざまな情報をオープンデータとして公開しています。,,,,,,,,,人口・世帯、労働・賃金、運輸・観光、教育・文化・スポーツ・生活、司法・安全・環境,無,CC-BY
330001,岡山県,http://www.okayama-opendata.jp/,https://www.okayama-opendata.jp/datasets?organization_id=48,おかやまオープンデータカタログ,「おかやまオープンデータカタログ」は、岡山県と県内の市町村の一部が公開しているオープンデータの検索、案内を目的とした「データカタログサイト」です。,,,,,,,,,国土・気象、人口・世帯、教育・文化・スポーツ・生活、住民向け情報(暮らしの情報)、統計,無,CC-BY
340006,広島県,https://www.pref.hiroshima.lg.jp/soshiki/265/opendata.html,https://hiroshima-opendata.dataeye.jp/datasets?organization_id=131,,,https://www.pref.hiroshima.lg.jp/soshiki/265/opendata.html,広島広域都市圏・広島県オープンデータポータルサイト,広島広域都市圏と、広島県及び県内市町のオープンデータを掲載するポータルサイトです。,,,,,2022/04/13,安全・防災，司法・安全・環境，教育・文化・スポーツ・生活，健康・医療，運輸・観光，人口・世帯，企業・家計・経済，行財政，都市計画,有,CC-BY
350001,山口県,https://yamaguchi-opendata.jp/www/,http://www.pref.yamaguchi.lg.jp/cms/a12600/opendata/opendata_index.html,山口県オープンデータサイト,山口県が保有するデータをオープンデータとして公開し、公共データの適正かつ効率的な活用を進めるサイトです。,,,,,,,,,人口・世帯、商業・サービス業、企業・家計・経済、住宅・土地・建設、運輸・観光、教育・文化・スポーツ・生活、行財政、司法・安全・環境,無,CC-BY
360007,徳島県,https://opendata.pref.tokushima.lg.jp/,https://opendata.pref.tokushima.lg.jp/,徳島県オープンデータポータルサイト,徳島県においては、「宝の山」である統計データをはじめとする公共データの一層の有効活用を図り、新サービス創出による県民の利便性向上や地域課題の解決等につなげていくため、オープンデータの取組を推進しています。,,,,,,,,2022/06/16,運輸・観光、教育・文化・スポーツ・生活、司法・安全・環境、住民向け情報(暮らしの情報)、行政活動情報、統計、名産品,対応予定,CC-BY
370002,香川県,https://opendata.pref.kagawa.lg.jp/,https://opendata.pref.kagawa.lg.jp/,香川県オープンデータカタログサイト,香川県では、オープンデータが地域の課題の解決を、県民や民間企業等と連携して実現するための有効かつ効率的な手段であると認識し、オープンデータを推進します。,,,,,,,,,人口・世帯、労働・賃金、鉱工業、商業・サービス業、企業・会計・経済、エネルギー・水、運輸・観光、スポーツ・生活、行財政、司法・安全・環境、社会保障・衛生、住民向け情報(暮らしの情報)、子育て、名産品,無,CC-BY
380008,愛媛県,https://www.pref.ehime.jp/opendata-catalog/,http://www.pref.ehime.jp/opendata/index.html,愛媛県オープンデータサイト（試行版）,愛媛県では、オープンデータの公開を進めることにより、行政の透明性の向上を図るとともに、公開されたデータを利活用した新しいビジネスが創出され、社会・経済の発展に寄与することを目指します。 まずは既に公開済みの「愛媛県統計情報データベース」内のデータをオープンデータとして公開し、その他のカテゴリについては順次公開するとともに、利用者ニーズの把握に努めながら本格的な運用を目指します。,,,,,,,,2020/01/30,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光、情報通信・科学技術、教育・文化・スポーツ・生活、行財政、司法・安全・環境、社会福祉・衛生、国際、その他、救急・消防,無,CC-BY
390003,高知県,http://www.pref.kochi.lg.jp/opendata/,http://www.pref.kochi.lg.jp/opendata/,高知県オープンデータ,オープンデータは様々な利用方法による地域活性化が期待されていることから、高知県はオープンデータを推進していきます。,,,,,,,,,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光、教育・文化・スポーツ・生活、行政財、司法・安全・環境、社会保障・衛生、国際、その他,無,CC-BY
400009,福岡県,https://www.open-governmentdata.org/fukuoka-pref/,,,,,,,,,,,,,,
410004,佐賀県,http://odcs.bodik.jp/410004/,http://odcs.bodik.jp/410004/,佐賀県オープンデータカタログサイト（試行版）,佐賀県では、県などが保有する公共データを、「オープンデータ」として公開するウェブサイト「佐賀県オープンデータカタログサイト（試行版）」開設しました。今後、皆様方からのご要望も踏まえながら、くらし・子育て、健康・福祉、産業、観光・スポーツなど県民の皆様の生活に身近なデータについて順次公開していきます。,,,,,,,,,情報通信・科学技術、司法・安全・環境,無,CC-BY
420000,長崎県,https://odcs.bodik.jp/420000/,https://odcs.bodik.jp/420000/,,,,,,,,,,,,,
430005,熊本県,http://www.pref.kumamoto.jp/kiji_22038.html,https://odcs.bodik.jp/433641/,玉東町オープンデータサイト,玉東町のオープンデータを公開しています。,,,,,,,,,人口・世帯;運輸・観光;教育・文化・スポーツ・生活;,有,CC BY
440001,大分県,https://www.pref.oita.jp/soshiki/11840/opendata.html,https://odcs.bodik.jp/440001/,大分県オープンデータカタログサイト,大分県では、県が保有する様々なデータを「オープンデータ」として公開し、機能面や利便性の向上を図ることを目的に、オープンデータカタログサイトを公開しています。,,,,,,,,2025/09/03,人口・世帯、鉱工業、運輸・観光、教育・文化・スポーツ・生活、司法・安全・環境、農林水産業、国土・気象、企業・家計・経済、住宅・土地・建設、商業・サービス業、社会保障・衛生、エネルギー・水、その他、,有,CC-BY
450006,宮崎県,https://odcs.bodik.jp/450006/,https://odcs.bodik.jp/450006/,宮崎県オープンデータカタログサイト,宮崎県が保有するオープンデータを閲覧・利用できるデータカタログサイトを整備しました。,,,,,,,,2019/06/17,国土・気象、人口・世帯、労働・賃金、農林水産業、鉱工業、商業・サービス業、企業・家計・経済、住宅・土地・建設、エネルギー・水、運輸・観光、情報通信・科学技術、教育・文化・スポーツ・生活、行政財、司法・安全・環境、社会保障・衛生、国際、その他、住民向け情報(暮らしの情報)、行政活動情報,有,CC-BY
460001,鹿児島県,http://www.pref.kagoshima.jp/ac03/infra/info/opendata/,http://www.pref.kagoshima.jp/ac03/infra/info/opendata/index.html,鹿児島県オープンデータサイト,鹿児島県では、行政の透明性・信頼性の向上、国民参加・官民協働の推進、経済の活性化や行政の効率化を目的として，本県の保有しているデータを公開します。,,,,,,,,,人口・世帯、農林水産業、運輸・観光、行財政、司法・安全・環境、社会保障・衛生、その他,無,CC-BY
470007,沖縄県,https://www.pref.okinawa.lg.jp/site/kikaku/joho/kikaku/opendata/opendata.html,http://www.pref.okinawa.lg.jp/site/kikaku/joho/kikaku/opendata/opendata.html,沖縄県オープンデータカタログ,沖縄県が所管・保有する電子情報の中から、「沖縄地図情報システム」（外部サイトへリンク）に掲載しているデータ及び統計情報中市町村データの一部を、機械判読に適したデータ形式で提供するサービス（以下「サービス」という。）を行っています。この後、順次、他の提供データの充実を図っていく予定です。,,,,,,,,,国土・気象、人口・世帯、労働・賃金、農林水産業、企業・家計・経済、住宅・土地・建設、教育・文化・スポーツ・生活、行財政、司法・安全・環境、社会保障・衛生、その他,無,CC-BY
